date,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,頂埔
01/11/2015,3940,9716,16483,42247,11644,8587,6651,3006,2807,8509,1354,2706,9303,6161,10820,5439,5651,3763,6140,3428,4648,6135,1108,14762,2116,9823,8514,10847,13449,14652,7257,24700,16850,21798,20800,3835,26392,19407,17294,15568,10939,144661,31110,15152,16978,22907,32993,23772,22422,7047,21608,5071,4461,14726,8968,2630,1640,7885,7875,5551,36511,12197,5409,14956,9697,22769,33166,27469,18222,25529,65551,12235,25138,29630,19423,46720,12765,13844,9032,7723,7597,36060,10011,8004,3154,15559,9181,10829,14632,7173,8477,4202,1892,2995,5878,6882,7303,10416,18785,20055,7657,8769,9504,8109,9065,6177,5857,0
01/12/2015,5051,15536,32579,43621,22607,14709,11066,3770,3842,15468,1917,4536,4854,10246,9154,17417,14318,5238,7604,2768,7679,8217,2867,27763,1980,10118,11708,14814,20089,15646,8595,24082,17430,32087,25478,8057,35581,25495,25325,20167,25268,129012,31649,23239,24534,23723,31820,28069,22249,12782,31748,7269,7206,18435,6263,3333,3043,13657,9915,7377,34476,15018,6532,19987,17538,25515,35719,38835,24307,26780,58516,21223,28045,37171,22270,54407,19896,17856,15888,10663,8425,32698,15334,5542,5125,35354,17231,17051,15669,13288,10483,4262,3959,3853,8457,8267,11351,16255,27874,21649,10686,11734,11869,11245,11389,7964,7214,0
01/13/2015,5189,15799,33850,44363,23137,14569,11438,3733,3834,15802,1947,4635,6130,10405,9961,17979,14537,5331,7692,3198,7621,8193,2994,28201,2129,10346,11555,14709,20434,16085,8519,24517,17967,31887,26855,8257,35441,25788,24911,20244,25744,125954,33062,23554,24910,24608,34124,29540,23189,12890,32030,7473,7162,18944,6863,3505,3211,14205,10177,7393,36174,15087,6425,19799,17759,25675,35126,38848,24383,26515,59065,22450,28837,38466,23989,53107,20304,17719,16162,10629,8850,24851,15707,5999,5170,35876,17520,17375,16390,13206,10850,4363,3982,3917,8432,8105,10991,15936,27476,21790,10639,11687,11679,11164,11174,7818,7242,0
01/14/2015,4980,16238,34359,46278,23233,15105,11400,3652,3030,15958,1923,4682,5462,10451,9879,18255,14608,5289,7733,2835,7770,8443,3144,28137,2091,10030,11789,15186,20538,15388,8656,25048,18433,32588,27319,8034,35553,26294,25254,20364,25738,127363,33571,23562,25055,24922,33887,29215,24251,12936,32459,7300,7358,19115,6649,3610,3158,14854,10274,7487,34822,14819,6640,20041,17628,25981,35698,38944,24996,26272,59334,23161,29367,39831,23750,53220,20157,17501,16194,10693,8855,23938,15680,5680,5184,37054,17684,17955,16212,13187,11049,4557,4119,4047,8422,8433,10576,16469,27618,21936,10613,11963,12148,11276,11227,7886,7314,0
01/15/2015,5055,16216,35121,49462,23208,15333,11448,3727,3720,16134,1885,4808,6705,10359,10026,18371,14612,5317,7728,3042,7688,8471,3009,29268,2179,10317,11983,15025,20726,15052,8586,25753,18657,31896,27768,8312,35470,26016,25322,20267,25912,133812,34922,23264,25161,25352,35993,30346,23682,12878,32747,7384,7371,19321,6713,3531,3082,14422,10078,7563,36262,15518,6590,20008,18086,26290,35926,39267,25039,26917,61674,23945,30106,40124,23726,55903,20369,18228,16239,10975,8761,25384,15693,5789,5029,37336,18238,17738,16575,13645,10966,4355,4010,3927,8329,8341,10248,16410,27996,22257,10820,11792,11799,11212,11180,8107,7277,0
01/16/2015,6059,17291,37147,55876,24112,16295,12223,3861,3131,16754,2043,4803,7967,10479,12658,19228,15668,5836,8697,3382,8041,9118,3198,33063,2190,11283,12793,15941,22301,16607,9318,30978,21867,34198,29939,8347,38095,27672,26548,21584,26643,168826,40408,25675,26522,27592,40879,33404,26184,13480,34439,7940,7760,20380,7483,3750,3201,13827,10696,7947,41144,17142,7375,21672,18458,29934,41277,41709,26481,28222,74988,25019,33822,46406,27418,64283,21590,19310,16659,11829,9947,27751,17227,6772,5808,39465,19741,18846,19001,14759,12140,4752,4283,4270,8758,9113,11737,17623,29752,24552,11440,12696,12763,11786,11882,8515,7702,0
01/17/2015,5719,11837,22822,56501,14688,11194,8972,3489,2725,10641,1722,3256,9853,7245,15384,6891,7151,4226,7643,3394,6026,7086,1368,19593,2204,10928,10340,13350,17600,14008,8356,35167,21634,28293,22508,4411,32338,23432,21884,18446,14854,171993,40193,21445,19010,24369,40641,30346,22714,9591,26644,6004,5413,16197,10279,3234,1933,9106,9054,6160,39280,14437,6294,17493,12399,28224,39932,33425,21591,27303,80912,15787,30961,41097,24901,57132,16226,17420,11030,9413,8504,25454,12657,9469,4379,22215,14701,13649,18984,10472,11031,5392,2354,3503,7429,8759,9267,13373,22041,22494,9505,10324,12174,9838,10958,7276,6828,0
01/18/2015,4625,9332,17182,43917,12213,8878,7195,3214,2457,8833,1411,2899,11118,6385,13023,5491,5727,3853,6572,4032,4802,6115,1306,16323,2064,11278,9084,11587,14576,12545,7690,30684,17989,22081,19546,3783,27764,20579,18808,16248,10857,154983,32383,14910,16936,24282,35477,28455,23005,7738,22170,5480,4639,15367,9417,2842,1919,8037,7921,6032,42105,13062,5834,15557,11195,23808,35937,28339,19027,25357,67516,12574,25543,30768,20709,46329,14136,14553,9675,8497,8381,22472,10104,10721,3684,16978,12362,11603,15328,8447,9574,4984,1958,3154,6691,7406,7728,11310,18829,19635,8440,9465,10377,8822,9666,7101,6497,0
01/19/2015,5498,15091,33401,45200,22113,13736,11358,3600,2909,13630,1993,4492,5294,10219,9244,17029,14296,5231,7622,2947,7462,8208,2962,27838,1919,10062,11315,14451,19729,14382,8218,25695,18488,31587,24681,7141,34775,25050,24620,19485,25365,137083,32327,23530,23590,24129,29987,28185,21989,12499,31332,7209,7064,18292,6375,3395,3100,12048,9928,7430,33340,14683,6505,19506,16211,25271,35143,36138,24279,26276,61912,19401,28322,38609,23298,55566,19612,18049,15390,10389,8665,24079,15127,5609,5345,36430,17180,17213,16272,8772,10419,4162,3856,3736,7882,8311,10142,15915,26679,20956,10364,11767,11558,10928,10775,7642,7117,0
01/20/2015,5330,15909,34417,47971,23537,14367,11572,3849,3102,14052,1982,4656,7717,10803,9630,18170,14859,5402,7828,3100,7466,8658,3063,31083,2143,11027,11527,15178,20564,15168,8765,28008,19189,32669,26758,7063,35786,26152,25274,20122,26674,139344,35062,24062,24662,25996,34827,31844,24043,12775,32484,7388,7344,19609,7381,3708,3064,12669,10312,7492,35474,15144,6592,19769,16365,26935,36356,37575,24712,28286,67312,20482,29193,40519,25320,56290,20566,18648,15972,10814,9324,25047,15824,6379,5476,37041,18005,17774,17007,8954,10862,4413,4160,3893,8447,8648,11419,16353,28657,22504,11095,12149,12057,11414,11268,7917,7231,0
